,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,1w_chg_pct,1m_chg_pct,1y_chg_pct,max_drawdown,ticker,fax,address2,headSymbol,underlyingExchangeSymbol,underlyingSymbol,uuid,ratecode,ratecode2,USD-USD,CNY-USD,TWD-USD,HKD-USD,EUR-USD,rate,rate2
22,95131,Financial Services,30900.0,"PayPal Holdings, Inc. operates a technology platform that enables digital payments on behalf of merchants and consumers worldwide. It provides payment solutions under the PayPal, PayPal Credit, Braintree, Venmo, Xoom, Zettle, Hyperwallet, Honey, and Paidy names. The company's payments platform allows consumers to send and receive payments in approximately 200 markets and in approximately 100 currencies, withdraw funds to their bank accounts in 56 currencies, and hold balances in their PayPal accounts in 25 currencies. PayPal Holdings, Inc. was founded in 1998 and is headquartered in San Jose, California.",San Jose,408 967 1000,CA,United States,[],https://www.paypal.com,1.0,2211 North First Street,Credit Services,0.17576,0.07791,0.43469003,5984000000.0,0.091,0.13998,4638000128.0,87.0,buy,11921000000.0,2347624960.0,120.0,90.17,,1.225,0.030450001,42.0,120.69,57.576,0.1011,160.0,9306000384.0,11381000192.0,26389000192.0,8.047,USD,22.603,0.227,2.1,NMS,"PayPal Holdings, Inc.","PayPal Holdings, Inc.",America/New_York,EDT,False,-14400000,EQUITY,PYPL,finmb_112732,us_market,,4.03,,22.931,-0.6464615,,4.79,,1156480000.0,,,,17.099,21526096.0,0.0186,,1640908800.0,0.73353994,2056000000.0,1.87,,-0.16544336,5.2734075,0.0025,1703980800.0,,1656547200.0,1.89,1660521600.0,1154394217.0,1.398305,106354425856.0,2.0,,,,,,,,3.951639,1663200000.0,1.87,,18.824635,,0.0186,21933601.0,0,,,94.42,92.18,105.498,0.0,0.0,,92.8,,11423880.0,94.42,93.647,0.0,92.18,,11423880.0,,,,,,,89.685,USD,48.21925,9229569.0,,,,104279801856.0,,,13494662.0,89.685,90.14,800.0,9229569.0,273.51,,,67.58,90.09,False,,800.0,92.8,,90.17,,https://logo.clearbit.com/paypal.com,4.7635627845455275,-5.054230799263615,-65.78508186791102,-66.8126631881646,PYPL ,,,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
23,60607,Consumer Defensive,79000.0,"Mondelez International, Inc., through its subsidiaries, manufactures, markets, and sells snack food and beverage products in the Latin America, North America, Asia, the Middle East, Africa, and Europe. It provides biscuits, including cookies, crackers, and salted snacks; chocolates; and gums and candies, as well as various cheese and grocery, and powdered beverage products. The company's snack brand portfolio includes Cadbury, Milka, and Toblerone chocolates; Oreo, belVita, and LU biscuits; Halls candies; Trident gums; and Tang powdered beverages. It serves supermarket chains, wholesalers, supercenters, club stores, mass merchandisers, distributors, convenience stores, gasoline stations, drug stores, value stores, and other retail food outlets through direct store delivery, company-owned and satellite warehouses, third party distributors, and other facilities, as well as through independent sales offices and agents, and e-commerce channels. The company was formerly known as Kraft Foods Inc. and changed its name to Mondelez International, Inc. in October 2012. Mondelez International, Inc. was incorporated in 2000 and is headquartered in Chicago, Illinois.",Chicago,847 943 4000,IL,United States,[],https://www.mondelezinternational.com,1.0,905 West Fulton Market,Confectioners,0.20145,0.12929,0.37904,4316000256.0,0.095,0.16474001,6018999808.0,65.8,buy,11254000000.0,3020375040.0,72.0,55.26,-0.289,0.678,0.04644,23.0,72.63,71.502,0.14050001,79.0,2050000000.0,19701000192.0,29877999616.0,1.496,USD,21.487,0.385,1.9,NMS,"Mondelez International, Inc.","Mondelez International, Inc.",America/New_York,EDT,False,-14400000,EQUITY,MDLZ,finmb_739693,us_market,,3.127,,15.523,-0.070010126,,3.13,,1370569984.0,,,,20.047,15356132.0,0.0112,,1640908800.0,0.8009,3863000064.0,2.75,0.385,-0.16544336,2.756522,0.00156,1703980800.0,,1656547200.0,2.49,1660521600.0,1368318385.0,0.64333,93430480896.0,2.0,,,,,1664409600,,-0.307,2.5348985,1663200000.0,3.65,,17.654951,,0.0112,13599050.0,0,,,56.01,55.85,63.34685,0.024995537,0.5091,,55.95,,8354820.0,56.01,61.5264,1.4,55.85,,8354820.0,,,1.54,1664409600,,,54.96,USD,20.094545,6753252.0,,,,75737694208.0,,,6511154.0,54.96,55.3,1200.0,6753252.0,69.47,,2.07,54.72,55.01,False,0.0279,2200.0,55.95,,55.26,,https://logo.clearbit.com/mondelezinternational.com,0.7842357762515517,-9.429554906086645,-5.566679700125277,-17.703536377161445,MDLZ ,,Suite 200,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
24,95032,Communication Services,11300.0,"Netflix, Inc. provides entertainment services. It offers TV series, documentaries, feature films, and mobile games across various genres and languages. The company provides members the ability to receive streaming content through a host of internet-connected devices, including TVs, digital video players, television set-top boxes, and mobile devices. It also provides DVDs-by-mail membership services in the United States. The company has approximately 222 million paid members in 190 countries. Netflix, Inc. was incorporated in 1997 and is headquartered in Los Gatos, California.",Los Gatos,408 540 3700,CA,United States,[],https://www.netflix.com,1.0,100 Winchester Circle,Entertainment,0.20075001,0.16419001,0.40634,704694016.0,0.086,0.19132,6229276160.0,157.0,hold,12365161000.0,16699799552.0,240.0,224.75,0.077,1.045,0.084989995,37.0,244.24,88.641,0.30934,330.0,5819448832.0,16909057024.0,31030693888.0,13.086,USD,69.931,0.878,2.7,NMS,"Netflix, Inc.","Netflix, Inc.",America/New_York,EDT,False,-14400000,EQUITY,NFLX,finmb_32012,us_market,,3.578,,17.825,-0.6415699,,10.82,,444705984.0,,,,42.896,9743379.0,0.0219,,1640908800.0,0.77962995,5094898176.0,10.68,,-0.16544336,5.239416,0.01454,1703980800.0,,1656547200.0,1.35,1660521600.0,438613124.0,1.221075,111037186048.0,2.0,,1436918400,7:1,,,,0.065,3.2209291,1663200000.0,2.7,,20.771719,,0.0223,10398559.0,0,,,240.02,235.77,296.1592,0.0,0.0,,237.3,,11679540.0,240.02,232.8036,0.0,235.77,,11679540.0,,,,,,,224.28,USD,21.044006,9405022.0,,,,99947667456.0,,,10595587.0,224.28,225.35,900.0,9405022.0,700.99,,,162.71,224.99,False,,1000.0,237.3,,224.75,,https://logo.clearbit.com/netflix.com,-4.5404359202156686,-1.8387520048985917,-64.4298474821367,-67.50712035641446,NFLX ,,,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
25,95052-3299,Technology,31900.0,"Applied Materials, Inc. provides manufacturing equipment, services, and software to the semiconductor, display, and related industries. It operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets. The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits. This segment also offers various technologies, including epitaxy, ion implantation, oxidation/nitridation, rapid thermal processing, physical vapor deposition, chemical vapor deposition, chemical mechanical planarization, electrochemical deposition, atomic layer deposition, etching, and selective deposition and removal, as well as metrology and inspection tools. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products. The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices. The company operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. Applied Materials, Inc. was incorporated in 1967 and is headquartered in Santa Clara, California.",Santa Clara,408 727 5555,CA,United States,[],https://www.appliedmaterials.com,1.0,3050 Bowers Avenue,Semiconductor Equipment & Materials,0.32854998,0.26416,0.47049,5689999872.0,0.052,0.31162,8265999872.0,85.0,buy,10926000000.0,3326249984.0,125.0,82.6,-0.011,2.259,0.19352,27.0,129.26,48.517,0.55085,175.0,3548000000.0,5856000000.0,25159000064.0,4.124,USD,28.517,1.268,2.0,NMS,"Applied Materials, Inc.","Applied Materials, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AMAT,finmb_251230,us_market,,2.916,,8.876,-0.35215688,,7.87,,860308992.0,,,,14.03,9894150.0,0.0115,,1635638400.0,0.79333,6646000128.0,7.47,0.26,-0.16544336,5.8873844,0.0036300002,1698710400.0,,1659225600.0,1.39,1660521600.0,857298294.0,1.512159,73369550848.0,2.0,,1019001600,2:1,,1661299200,,-0.064,2.824497,1663200000.0,0.92,,10.495553,,0.0115,10801619.0,0,,,88.12,85.17,115.2462,0.011348161,0.1312,,85.54,,8069200.0,88.12,96.1166,1.0,85.17,,8069200.0,,,1.04,1669161600,,,82.02,USD,11.057564,9964834.0,,,,71061520384.0,,,6948937.0,82.02,82.59,800.0,9964834.0,167.06,,1.19,81.53,82.06,False,0.0126,1200.0,85.54,,82.6,,https://logo.clearbit.com/appliedmaterials.com,0.8177690302083152,-10.158803262200887,-34.8626520318595,-50.20156171345809,AMAT ,,PO Box 58039,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
26,01887,Technology,24700.0,"Analog Devices, Inc. designs, manufactures, tests, and markets integrated circuits (ICs), software, and subsystems that leverage analog, mixed-signal, and digital signal processing technologies. The company provides data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; power management and reference products for power conversion, driver monitoring, sequencing, and energy management applications in the automotive, communications, industrial, and high-end consumer markets; and power ICs include performance, integration, and software design simulation tools for accurate power supply designs. It also offers high-performance amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure; and microelectromechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes for sense rotation, inertial measurement units to sense multiple degrees of freedom, and broadband switches for radio and instrument systems, as well as isolators. In addition, the company offers digital signal processing and system products for high-speed numeric calculations. It serves clients in the industrial, automotive, consumer, instrumentation, aerospace, and communications markets through a direct sales force, third-party distributors, and independent sales representatives in the United States, the rest of North and South America, Europe, Japan, China, and rest of Asia, as well as through its Website. Analog Devices, Inc. was incorporated in 1965 and is headquartered in Wilmington, Massachusetts.",Wilmington,781 935 5565,MA,United States,[],https://www.analog.com,1.0,One Analog Way,Semiconductors,0.48763,0.17,0.64056,4266789888.0,0.768,0.28919,5415524864.0,169.0,buy,4856095000.0,3522475776.0,190.0,144.92,0.067,1.921,0.055770002,23.0,193.73,17.066,0.07721,220.0,1524960000.0,6252838912.0,11105805312.0,2.965,USD,21.691,1.339,1.9,NMS,"Analog Devices, Inc.","Analog Devices, Inc.",America/New_York,EDT,False,-14400000,EQUITY,ADI,finmb_251411,us_market,,7.137,,14.637,-0.13686717,,9.68,,514342016.0,,,,71.234,7649156.0,0.0149,,1635552000.0,0.88418,1888022016.0,3.24,0.76,-0.16544336,2.0344217,0.00921,1698624000.0,,1659139200.0,2.28,1660521600.0,512268735.0,1.144067,79266250752.0,2.0,,953164800,2:1,,1661731200,,0.488,6.7116647,1663200000.0,0.96,,14.971074,,0.0149,8775907.0,0,,,150.97,147.67,159.45105,0.019672783,0.85800004,,148.63,,3633280.0,150.97,158.1488,2.97,147.67,,3633280.0,,,3.04,1661731200,,,144.13,USD,44.728394,4350624.0,,,,74538442752.0,,,3306400.0,144.13,144.92,800.0,4350624.0,191.95,,1.88,138.5,144.62,False,0.0201,1300.0,148.63,,144.92,,https://logo.clearbit.com/analog.com,4.004594501009984,-3.835433906002006,-11.622676722273251,-21.83661801390707,ADI ,,,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
27,06902,Communication Services,93700.0,"Charter Communications, Inc. operates as a broadband connectivity and cable operator company serving residential and commercial customers in the United States. The company offers subscription-based video services, including video on demand, high-definition television, digital video recorder, pay-per-view services. It provides Internet services, such as security suite that protects computers from viruses and spyware, and threats from malicious actors; in-home WiFi, which provides customers with high performance wireless routers to enhance their in-home wireless Internet experience; out-of-home WiFi; and Spectrum WiFi services, as well as video services. The company also offers voice communications services using voice over Internet protocol technology; and broadband communications solutions, such as Internet access, data networking, fiber connectivity, video entertainment, and business telephone services to cellular towers and office buildings for business and carrier organizations. In addition, it provides mobile services; offers video programming, static IP and business WiFi, email and security, and multi-line telephone services, as well as Web-based service management; sells local advertising across various platforms for networks, such as TBS, CNN, and ESPN; sells advertising inventory to local sports and news channels; and offers Audience App for optimizes linear inventory. Further, the company offers communications products and managed service solutions; data connectivity services to mobile and wireline carriers on a wholesale basis; and owns and operates regional sports and news networks. It serves approximately 32 million customers in 41 states. The company was founded in 1993 and is headquartered in Stamford, Connecticut.",Stamford,203 905 7801,CT,United States,[],https://corporate.charter.com,1.0,400 Washington Boulevard,Telecom Services,0.39672002,0.10349,0.45433998,15870000128.0,0.062,0.22583,21088000000.0,273.0,hold,23271000000.0,6932624896.0,550.0,312.53,0.665,0.328,0.05223,25.0,550.28,712.514,0.33714,805.0,483000000.0,96282001408.0,53155999744.0,3.006,USD,307.221,0.286,2.6,NMS,"Charter Communications, Inc.","Charter Communications, Inc.",America/New_York,EDT,False,-14400000,EQUITY,CHTR,finmb_19609,us_market,,2.815,,7.096,-0.55046535,,37.24,,160655008.0,,,,61.492,8375465.0,0.0521,,1640908800.0,0.68079,5501000192.0,29.2,,-0.16544336,5.08245,0.3518,1703980800.0,,1656547200.0,7.07,1660521600.0,107744713.0,1.038688,149642428416.0,2.0,,,,,,,0.442,0.944569,1663200000.0,0.36,,8.39232,,0.078099996,8196106.0,0,,,323.95,321.26,500.8941,0.0,0.0,,323.45,,1830680.0,323.95,400.196,0.0,321.26,,1830680.0,,,,,,,311.36,USD,10.703082,1117011.0,,,,50209509376.0,,,1368900.0,311.36,315.75,1200.0,1117011.0,739.86,,,302.94,311.02,False,,900.0,323.45,,312.53,,https://logo.clearbit.com/corporate.charter.com,3.0262048759111204,-22.362437397456613,-57.8772163033418,-57.8772163033418,CHTR ,,,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
28,94404,Healthcare,14400.0,"Gilead Sciences, Inc., a biopharmaceutical company, discovers, develops, and commercializes medicines in the areas of unmet medical need in the United States, Europe, and internationally. The company provides Biktarvy, Genvoya, Descovy, Odefsey, Truvada, Complera/ Eviplera, Stribild, and Atripla products for the treatment of HIV/AIDS; Veklury, an injection for intravenous use, for the treatment of coronavirus disease 2019; and Epclusa, Harvoni, Vosevi, Vemlidy, and Viread for the treatment of liver diseases. It also offers Yescarta, Tecartus, Trodelvy, and Zydelig products for the treatment of hematology, oncology, and cell therapy patients. In addition, the company provides Letairis, an oral formulation for the treatment of pulmonary arterial hypertension; Ranexa, an oral formulation for the treatment of chronic angina; and AmBisome, a liposomal formulation for the treatment of serious invasive fungal infections. Gilead Sciences, Inc. has collaboration agreements with Arcus Biosciences, Inc.; Pionyr Immunotherapeutics Inc.; Tizona Therapeutics, Inc.; Tango Therapeutics, Inc.; Jounce Therapeutics, Inc.; Galapagos NV; Janssen Sciences Ireland Unlimited Company; Japan Tobacco, Inc.; Gadeta B.V.; Bristol-Myers Squibb Company; Dragonfly Therapeutics, Inc.; and Merck & Co, Inc. The company was incorporated in 1987 and is headquartered in Foster City, California.",Foster City,650 574 3000,CA,United States,[],https://www.gilead.com,1.0,333 Lakeside Drive,Drug Manufacturers—General,0.48021,0.15035,0.79498,10099999744.0,0.007,0.4036,13212999680.0,56.0,buy,21779000000.0,8675624960.0,70.5,64.29,-0.248,1.429,0.106079996,24.0,71.24,129.686,0.20583999,90.0,6140000256.0,26215999488.0,27515000832.0,4.899,USD,21.916,1.113,2.5,NMS,"Gilead Sciences, Inc.","Gilead Sciences, Inc.",America/New_York,EDT,False,-14400000,EQUITY,GILD,finmb_29002,us_market,,3.657,,7.616,-0.055669785,,6.46,,1253369984.0,,,,16.137,16688625.0,0.013300001,,1640908800.0,0.82035005,4136999936.0,3.27,0.73,-0.16544336,3.9840121,0.00092,1703980800.0,,1656547200.0,2.26,1660521600.0,1252076426.0,0.333087,100633993216.0,2.0,,1359331200,2:1,,1663113600,,-0.248,2.9285538,1663200000.0,-7.95,,9.952012,,0.013300001,17043979.0,0,,,64.95,64.64,63.3512,0.044341806,0.8807,,65.095,,7626790.0,64.95,63.6832,2.88,64.64,,7626790.0,,,2.92,1663113600,,,63.965,USD,19.660551,6723216.0,,,,80579158016.0,,,6974010.0,63.965,64.58,1400.0,6723216.0,74.12,,3.76,57.17,64.29,False,0.0454,1200.0,65.095,,64.29,,https://logo.clearbit.com/gilead.com,4.2146252985855615,0.3535935999451123,-1.1624696448209515,-9.464021468322093,GILD ,650 522 5853,,,,,,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
29,94086-5304,Healthcare,9793.0,"Intuitive Surgical, Inc. develops, manufactures, and markets products that enable physicians and healthcare providers to enhance the quality of and access to minimally invasive care in the United States and internationally. The company offers the da Vinci Surgical System to enable complex surgery using a minimally invasive approach; and Ion endoluminal system, which extends its commercial offerings beyond surgery into diagnostic procedures enabling minimally invasive biopsies in the lung. It also provides a suite of stapling, energy, and core instrumentation for its surgical systems; progressive learning pathways to support the use of its technology; a complement of services to its customers, including support, installation, repair, and maintenance; and integrated digital capabilities providing unified and connected offerings, streamlining performance for hospitals with program-enhancing insights. The company was incorporated in 1995 and is headquartered in Sunnyvale, California.",Sunnyvale,408 523 2100,CA,United States,[],https://www.intuitive.com,1.0,1020 Kifer Road,Medical Instruments & Supplies,0.34015,0.24053,0.68165,1738800000.0,0.04,0.28484,2028600064.0,175.0,buy,3958500000.0,1364887552.0,255.0,188.68,-0.401,5.355,0.08166,15.0,255.2,,0.12655,325.0,4446000128.0,0.0,5963800064.0,12.45,USD,16.673,4.597,2.1,NMS,"Intuitive Surgical, Inc.","Intuitive Surgical, Inc.",America/New_York,EDT,True,-14400000,EQUITY,ISRG,finmb_30239,us_market,,13.047,,38.356,,,15.8,,357236992.0,,,,85.756,3637723.0,0.010199999,,1640908800.0,0.87246,1434499968.0,9.72,,,2.2001958,0.0049900003,1703980800.0,,1656547200.0,1.93,1655251200.0,355368489.0,1.270327,77809680384.0,2.0,,1507248000,3:1,,,,-0.405,11.302101,1657843200.0,7.74,,11.9417715,,0.010199999,3574627.0,,,,197.7,194.65,249.6482,,0.0,,195.6,,1774430.0,197.7,213.9788,,194.65,,1774430.0,,,,,,,187.62,USD,19.411522,1897349.0,,,,67403472896.0,,,1925210.0,187.62,188.68,900.0,1897349.0,369.69,,,184.94,187.68,False,,1100.0,195.6,,188.68,,https://logo.clearbit.com/intuitive.com,0.6615398091251112,-10.52307248789688,-44.23361272152056,-48.366267379305796,ISRG ,408 523 1390,,,,,fae970d5-82c8-3b4b-a1eb-c4a07c93573d,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
30,02210,Healthcare,3900.0,"Vertex Pharmaceuticals Incorporated, a biotechnology company, engages in developing and commercializing therapies for treating cystic fibrosis. The company markets SYMDEKO/SYMKEVI, ORKAMBI, and KALYDECO to treat patients with cystic fibrosis who have specific mutations in their cystic fibrosis transmembrane conductance regulator gene; and TRIKAFTA for the treatment of patients with CF 6 years of age or older who have at least one F508del mutation. Its pipeline includes VX-864 for the treatment of AAT deficiency, which is in Phase 2 clinical trial; VX-147 for the treatment of APOL1-mediated focal segmental glomerulosclerosis, or FSGS, and other serious kidney diseases which is in Phase 2 clinical trial; VX- 880, treatment for Type 1 Diabetes which is in Phase 1/2 clinical trial; VX-548, a NaV1.8 inhibitor for treatments of acute, neuropathic, musculoskeletal pain which is in Phase 2 clinical trial; and CTX001 for the treatment severe SCD and TDT which is in Phase 3 clinical trial. The company sells its products primarily to specialty pharmacy and specialty distributors in the United States, as well as specialty distributors and retail chains, and hospitals and clinics internationally. It has collaborations with Affinia Therapeutics, Inc.; Arbor Biotechnologies, Inc.; CRISPR Therapeutics AG.; Kymera Therapeutics, Inc.; Mammoth Biosciences, Inc.; Moderna, Inc.; Obsidian Therapeutics, Inc.; and Skyhawk Therapeutics, Inc.; as well as Ribometrix, Inc.; Genomics plc; Merck KGaA; Darmstadt, Germany, and X-Chem, Inc. Vertex Pharmaceuticals Incorporated was founded in 1989 and is headquartered in Boston, Massachusetts.",Boston,617 341 6100,MA,United States,[],https://www.vrtx.com,1.0,50 Northern Avenue,Biotechnology,0.38516998,0.30841,0.47709,2678700032.0,0.216,0.36848,3061199872.0,240.0,buy,3619100000.0,1882163968.0,295.5,295.23,0.189,4.752,0.13881,26.0,298.01,7.999,0.2465,368.0,8238099968.0,872499968.0,7947599872.0,32.211,USD,30.97,4.372,2.1,NMS,Vertex Pharmaceuticals Incorpor,Vertex Pharmaceuticals Incorporated,America/New_York,EDT,True,-14400000,EQUITY,VRTX,finmb_36235,us_market,,8.097,,21.021,,,12.65,,254252000.0,,,,34.696,3588960.0,0.0139999995,,1640908800.0,0.9414,2451099904.0,10.491,,,8.50905,0.00248,1703980800.0,,1648684800.0,1.94,1655251200.0,255126801.0,0.494252,64350928896.0,2.0,,967075200,2:1,,,,0.167,9.4447155,1657843200.0,2.54,,23.33834,,0.014099999,3415234.0,,,,298.63,295.91,263.86414,,0.0,,300.05,,1514860.0,298.63,288.7182,,295.91,,1514860.0,,,,,,,292.725,USD,28.141264,1424774.0,,,,75062820864.0,,,1361750.0,292.725,297.04,1400.0,1424774.0,305.95,,,177.71,293.01,False,,800.0,300.05,,295.23,,https://logo.clearbit.com/vrtx.com,1.9651869425580504,3.793421618727688,63.99844682788498,-3.3711870631757734,VRTX ,,,,,,625901ce-605e-369e-9a46-a48cf891450f,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
31,06854,Consumer Cyclical,21000.0,"Booking Holdings Inc. provides travel and restaurant online reservation and related services worldwide. The company operates Booking.com, which offers online accommodation reservations; Rentalcars.com that provides online rental car reservation services; Priceline, which offer online travel reservation services, and consumers hotel, flight, and rental car reservation services, as well as vacation packages, cruises, and hotel distribution services. It also operates Agoda that provides online accommodation reservation services, as well as flight, ground transportation and activities reservation services. In addition, the company operates KAYAK, an online price comparison service that allows consumers to search and compare travel itineraries and prices, comprising airline ticket, accommodation reservation, and rental car reservation information; and OpenTable for booking online restaurant reservations. Further, it offers travel-related insurance products, and restaurant management services to consumers, travel service providers, and restaurants. The company was formerly known as The Priceline Group Inc. and changed its name to Booking Holdings Inc. in February 2018. The company was founded in 1997 and is headquartered in Norwalk, Connecticut.",Norwalk,203 299 8000,CT,United States,[],https://www.bookingholdings.com,1.0,800 Connecticut Avenue,Travel Services,0.28588,0.04156,0.82241,4721999872.0,1.362,0.2524,3576999936.0,1890.0,buy,8780000000.0,5173749760.0,2552.5,1685.16,,1.722,0.08574,28.0,2556.93,231.351,0.11382,3000.0,10572999680.0,10117000192.0,12512000000.0,260.27,USD,304.955,1.629,2.2,NMS,Booking Holdings Inc. Common St,Booking Holdings Inc.,America/New_York,EDT,True,-14400000,EQUITY,BKNG,finmb_33254,us_market,,6.248,,21.856,,,94.3,,41059800.0,,,,119.459,731559.0,0.018,,1640908800.0,0.9348,520000000.0,1.44,,,14.106598,0.0025099998,1703980800.0,,1648684800.0,1.65,1655251200.0,40524541.0,1.254576,78178033664.0,2.0,,1055721600,1:6,,,,,5.530078,1657843200.0,0.38,,17.870201,,0.018,824642.0,,,,1709.73,1680.77,2113.175,,0.0,,1699.025,,409330.0,1709.73,1897.5024,,1680.77,,409330.0,,,,,,,1668.42,USD,1170.25,443507.0,,,,69192335360.0,,,397576.0,1668.42,1685.0,800.0,443507.0,2715.66,,,1626.22,1678.01,False,,800.0,1699.025,,1685.16,,https://logo.clearbit.com/bookingholdings.com,2.5529344538694154,-10.002399096166592,-31.747264715281997,-37.6619330699975,BKNG ,,,,,,dc582d30-8fc1-34d4-81b0-0893cd207cf5,USD-USD,USD-USD,1,0.1405777782201767,0.03170677646994591,0.12739016115665436,0.9789045453071594,1.0,1.0
